algoritmo,n,escenario,repeticion,comparaciones,tiempo_ns
lineal,100000,centro,8,2916,2641345
binaria,100000,centro,8,1,2280526
lineal,100000,centro,9,2916,2847974
binaria,100000,centro,9,1,2358382
lineal,100000,centro,10,2916,2590906
binaria,100000,centro,10,1,2337311
lineal,100000,centro,11,2916,2561536
binaria,100000,centro,11,1,2312531
lineal,100000,centro,12,2916,2699925
binaria,100000,centro,12,1,3773886
lineal,100000,centro,13,2916,4639127
binaria,100000,centro,13,1,3964324
lineal,100000,centro,14,2916,4555156
binaria,100000,centro,14,1,4000575
lineal,100000,centro,15,2916,4252674
binaria,100000,centro,15,1,4028390
lineal,100000,centro,16,2916,4431096
binaria,100000,centro,16,1,3746942
lineal,100000,centro,17,2916,2748185
binaria,100000,centro,17,1,2358520
lineal,100000,centro,18,2916,2905345
binaria,100000,centro,18,1,2331630
lineal,100000,centro,19,2916,2681260
binaria,100000,centro,19,1,2559313
lineal,100000,centro,20,2916,2718530
binaria,100000,centro,20,1,2484998
lineal,100000,centro,21,2916,2580687
binaria,100000,centro,21,1,2324901
lineal,100000,centro,22,2916,2683039
binaria,100000,centro,22,1,2359982
lineal,100000,centro,23,2916,2770388
binaria,100000,centro,23,1,2470179
lineal,100000,centro,24,2916,2750330
binaria,100000,centro,24,1,2441850
lineal,100000,centro,25,2916,2581612
binaria,100000,centro,25,1,2347319
lineal,100000,centro,26,2916,2533289
binaria,100000,centro,26,1,2264205
lineal,100000,centro,27,2916,2680285
binaria,100000,centro,27,1,2286615
lineal,100000,centro,28,2916,2608662
binaria,100000,centro,28,1,2244082
lineal,100000,centro,29,2916,2493316
binaria,100000,centro,29,1,2396129
lineal,100000,final,0,88,2283988
binaria,100000,final,0,13,2255261
lineal,100000,final,1,88,2428307
binaria,100000,final,1,13,2445519
lineal,100000,final,2,88,2281248
binaria,100000,final,2,13,2313373
lineal,100000,final,3,88,2285561
binaria,100000,final,3,13,2361701
lineal,100000,final,4,88,2352231
binaria,100000,final,4,13,2302422
lineal,100000,final,5,88,2289822
binaria,100000,final,5,13,2250609
lineal,100000,final,6,88,2328143
binaria,100000,final,6,13,2292724
lineal,100000,final,7,88,2385288
binaria,100000,final,7,13,2306641
lineal,100000,final,8,88,2401742
binaria,100000,final,8,13,2319142
lineal,100000,final,9,88,2254246
binaria,100000,final,9,13,2305810
lineal,100000,final,10,88,2274730
binaria,100000,final,10,13,2375769
lineal,100000,final,11,88,2406103
binaria,100000,final,11,13,2266781
lineal,100000,final,12,88,2247011
binaria,100000,final,12,13,2225434
lineal,100000,final,13,88,2228666
binaria,100000,final,13,13,2232479
lineal,100000,final,14,88,2271831
binaria,100000,final,14,13,2291211
lineal,100000,final,15,88,2229109
binaria,100000,final,15,13,2466228
lineal,100000,final,16,88,2442911
binaria,100000,final,16,13,2269326
lineal,100000,final,17,88,2315742
binaria,100000,final,17,13,2521890
lineal,100000,final,18,88,2315943
binaria,100000,final,18,13,2253925
lineal,100000,final,19,88,2368012
binaria,100000,final,19,13,2236769
lineal,100000,final,20,88,2355247
binaria,100000,final,20,13,2368253
lineal,100000,final,21,88,2418842
binaria,100000,final,21,13,2324137
lineal,100000,final,22,88,2315951
binaria,100000,final,22,13,2337727
lineal,100000,final,23,88,2260744
binaria,100000,final,23,13,2273063
lineal,100000,final,24,88,2260438
binaria,100000,final,24,13,2269956
lineal,100000,final,25,88,2275826
binaria,100000,final,25,13,2257660
lineal,100000,final,26,88,2332193
binaria,100000,final,26,13,3721590
lineal,100000,final,27,88,4139565
binaria,100000,final,27,13,3886047
lineal,100000,final,28,88,6156216
binaria,100000,final,28,13,4147590
lineal,100000,final,29,88,4040810
binaria,100000,final,29,13,4369999
lineal,100000,ausente,0,100000,21613220
binaria,100000,ausente,0,17,4056179
lineal,100000,ausente,1,100000,21315015
binaria,100000,ausente,1,17,6041247
lineal,100000,ausente,2,100000,20032689
binaria,100000,ausente,2,17,4993394
lineal,100000,ausente,3,100000,19583394
binaria,100000,ausente,3,17,3996142
lineal,100000,ausente,4,100000,19987355
binaria,100000,ausente,4,17,4036401
lineal,100000,ausente,5,100000,20583935
binaria,100000,ausente,5,17,4139936
lineal,100000,ausente,6,100000,20759710
binaria,100000,ausente,6,17,4176117
lineal,100000,ausente,7,100000,19562135
binaria,100000,ausente,7,17,3513099
lineal,100000,ausente,8,100000,19626733
binaria,100000,ausente,8,17,4181417
lineal,100000,ausente,9,100000,21817640
binaria,100000,ausente,9,17,4203161
lineal,100000,ausente,10,100000,21880888
binaria,100000,ausente,10,17,4157024
lineal,100000,ausente,11,100000,19548890
binaria,100000,ausente,11,17,4096802
lineal,100000,ausente,12,100000,20631198
binaria,100000,ausente,12,17,4160457
lineal,100000,ausente,13,100000,20877693
binaria,100000,ausente,13,17,4136485
lineal,100000,ausente,14,100000,20542968
binaria,100000,ausente,14,17,4156705
lineal,100000,ausente,15,100000,20836928
binaria,100000,ausente,15,17,2856582
lineal,100000,ausente,16,100000,18393962
binaria,100000,ausente,16,17,4136923
lineal,100000,ausente,17,100000,23318015
binaria,100000,ausente,17,17,4152024
lineal,100000,ausente,18,100000,21816192
binaria,100000,ausente,18,17,4151536
lineal,100000,ausente,19,100000,21644643
binaria,100000,ausente,19,17,4161395
lineal,100000,ausente,20,100000,22021047
binaria,100000,ausente,20,17,4156430
lineal,100000,ausente,21,100000,20551464
binaria,100000,ausente,21,17,4134102
lineal,100000,ausente,22,100000,20276597
binaria,100000,ausente,22,17,4192173
lineal,100000,ausente,23,100000,21122004
binaria,100000,ausente,23,17,4210739
lineal,100000,ausente,24,100000,21137783
binaria,100000,ausente,24,17,4132998
lineal,100000,ausente,25,100000,20806491
binaria,100000,ausente,25,17,4300079
lineal,100000,ausente,26,100000,21318087
binaria,100000,ausente,26,17,4159643
lineal,100000,ausente,27,100000,20848651
binaria,100000,ausente,27,17,4757360
lineal,100000,ausente,28,100000,21066469
binaria,100000,ausente,28,17,4110355
lineal,100000,ausente,29,100000,20813850
binaria,100000,ausente,29,17,4178311
